# Source: EIA Table 5.6.A — Average Retail Price of Electricity (Residential)
# URL: https://www.eia.gov/electricity/monthly/epm_table_5_6_a.html
# Snapshot date: 2025-01 (annual averages, cents/kWh converted to $/kWh)
# License: US Government public domain
# TODO: Refresh annually from the EIA Monthly Electric Power Industry Report
state,rate_dollars_per_kwh,year
AL,0.16,2024
AK,0.24,2024
AZ,0.15,2024
AR,0.13,2024
CA,0.32,2024
CO,0.16,2024
CT,0.29,2024
DE,0.17,2024
DC,0.16,2024
FL,0.16,2024
GA,0.15,2024
HI,0.42,2024
ID,0.12,2024
IL,0.17,2024
IN,0.16,2024
IA,0.16,2024
KS,0.15,2024
KY,0.13,2024
LA,0.13,2024
ME,0.26,2024
MD,0.17,2024
MA,0.29,2024
MI,0.20,2024
MN,0.16,2024
MS,0.14,2024
MO,0.14,2024
MT,0.13,2024
NE,0.13,2024
NV,0.16,2024
NH,0.27,2024
NJ,0.20,2024
NM,0.16,2024
NY,0.24,2024
NC,0.14,2024
ND,0.13,2024
OH,0.15,2024
OK,0.13,2024
OR,0.14,2024
PA,0.18,2024
RI,0.28,2024
SC,0.15,2024
SD,0.14,2024
TN,0.13,2024
TX,0.15,2024
UT,0.12,2024
VT,0.22,2024
VA,0.15,2024
WA,0.12,2024
WV,0.14,2024
WI,0.18,2024
WY,0.12,2024
