# Source: Approximated from CPUC Avoided Cost Calculator (ACC) 2025 update
# URL: https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/demand-side-management/net-energy-metering/nem-revisit/cost-effectiveness
# NOTE: These are APPROXIMATIONS for modeling purposes. For production use,
#       parse the official CPUC ACC spreadsheet directly. The actual ACC values
#       vary by climate zone, load shape, and are updated annually.
# Snapshot date: 2025-03 (approximate values in $/kWh)
# License: California public record
#
# The pattern: overnight/morning hours are very cheap (~$0.03-0.04/kWh),
# midday solar hours are low (~$0.04-0.06 due to oversupply),
# evening peak (4-9pm) is highest (~$0.12-0.20 in summer) because
# solar production drops while demand peaks.
# Monthly averages across all CA climate zones.
month,hour,export_rate
1,0,0.035
1,1,0.033
1,2,0.032
1,3,0.031
1,4,0.032
1,5,0.034
1,6,0.040
1,7,0.048
1,8,0.055
1,9,0.050
1,10,0.045
1,11,0.042
1,12,0.040
1,13,0.038
1,14,0.040
1,15,0.048
1,16,0.080
1,17,0.120
1,18,0.140
1,19,0.120
1,20,0.090
1,21,0.065
1,22,0.050
1,23,0.040
2,0,0.034
2,1,0.032
2,2,0.031
2,3,0.030
2,4,0.031
2,5,0.033
2,6,0.038
2,7,0.046
2,8,0.052
2,9,0.048
2,10,0.043
2,11,0.040
2,12,0.038
2,13,0.036
2,14,0.038
2,15,0.046
2,16,0.078
2,17,0.118
2,18,0.138
2,19,0.118
2,20,0.088
2,21,0.063
2,22,0.048
2,23,0.038
3,0,0.033
3,1,0.031
3,2,0.030
3,3,0.029
3,4,0.030
3,5,0.032
3,6,0.037
3,7,0.044
3,8,0.048
3,9,0.044
3,10,0.040
3,11,0.037
3,12,0.035
3,13,0.033
3,14,0.035
3,15,0.044
3,16,0.075
3,17,0.115
3,18,0.135
3,19,0.115
3,20,0.085
3,21,0.060
3,22,0.046
3,23,0.036
4,0,0.032
4,1,0.030
4,2,0.029
4,3,0.028
4,4,0.029
4,5,0.031
4,6,0.035
4,7,0.042
4,8,0.045
4,9,0.040
4,10,0.036
4,11,0.033
4,12,0.031
4,13,0.029
4,14,0.031
4,15,0.042
4,16,0.075
4,17,0.118
4,18,0.140
4,19,0.120
4,20,0.088
4,21,0.062
4,22,0.047
4,23,0.036
5,0,0.031
5,1,0.029
5,2,0.028
5,3,0.027
5,4,0.028
5,5,0.030
5,6,0.034
5,7,0.040
5,8,0.042
5,9,0.037
5,10,0.033
5,11,0.030
5,12,0.028
5,13,0.026
5,14,0.028
5,15,0.040
5,16,0.078
5,17,0.125
5,18,0.150
5,19,0.130
5,20,0.095
5,21,0.065
5,22,0.048
5,23,0.036
6,0,0.030
6,1,0.028
6,2,0.027
6,3,0.026
6,4,0.027
6,5,0.029
6,6,0.032
6,7,0.038
6,8,0.040
6,9,0.035
6,10,0.030
6,11,0.027
6,12,0.025
6,13,0.023
6,14,0.025
6,15,0.038
6,16,0.085
6,17,0.140
6,18,0.175
6,19,0.155
6,20,0.110
6,21,0.072
6,22,0.052
6,23,0.038
7,0,0.032
7,1,0.030
7,2,0.029
7,3,0.028
7,4,0.029
7,5,0.031
7,6,0.034
7,7,0.040
7,8,0.042
7,9,0.036
7,10,0.031
7,11,0.028
7,12,0.026
7,13,0.024
7,14,0.026
7,15,0.040
7,16,0.090
7,17,0.150
7,18,0.195
7,19,0.170
7,20,0.120
7,21,0.078
7,22,0.055
7,23,0.040
8,0,0.033
8,1,0.031
8,2,0.030
8,3,0.029
8,4,0.030
8,5,0.032
8,6,0.035
8,7,0.041
8,8,0.043
8,9,0.037
8,10,0.032
8,11,0.029
8,12,0.027
8,13,0.025
8,14,0.027
8,15,0.041
8,16,0.088
8,17,0.145
8,18,0.185
8,19,0.160
8,20,0.115
8,21,0.075
8,22,0.053
8,23,0.039
9,0,0.033
9,1,0.031
9,2,0.030
9,3,0.029
9,4,0.030
9,5,0.032
9,6,0.036
9,7,0.043
9,8,0.047
9,9,0.042
9,10,0.037
9,11,0.034
9,12,0.032
9,13,0.030
9,14,0.032
9,15,0.043
9,16,0.082
9,17,0.130
9,18,0.160
9,19,0.140
9,20,0.100
9,21,0.068
9,22,0.050
9,23,0.038
10,0,0.034
10,1,0.032
10,2,0.031
10,3,0.030
10,4,0.031
10,5,0.033
10,6,0.038
10,7,0.046
10,8,0.050
10,9,0.045
10,10,0.040
10,11,0.037
10,12,0.035
10,13,0.033
10,14,0.035
10,15,0.045
10,16,0.080
10,17,0.125
10,18,0.148
10,19,0.128
10,20,0.092
10,21,0.065
10,22,0.050
10,23,0.038
11,0,0.035
11,1,0.033
11,2,0.032
11,3,0.031
11,4,0.032
11,5,0.034
11,6,0.039
11,7,0.047
11,8,0.053
11,9,0.048
11,10,0.043
11,11,0.040
11,12,0.038
11,13,0.036
11,14,0.038
11,15,0.047
11,16,0.080
11,17,0.122
11,18,0.142
11,19,0.122
11,20,0.090
11,21,0.064
11,22,0.049
11,23,0.039
12,0,0.036
12,1,0.034
12,2,0.033
12,3,0.032
12,4,0.033
12,5,0.035
12,6,0.041
12,7,0.049
12,8,0.056
12,9,0.051
12,10,0.046
12,11,0.043
12,12,0.041
12,13,0.039
12,14,0.041
12,15,0.049
12,16,0.082
12,17,0.122
12,18,0.142
12,19,0.122
12,20,0.090
12,21,0.065
12,22,0.050
12,23,0.040
