# Source: pgeocode/GeoNames (https://www.geonames.org/) — CC BY 4.0
# Downloaded: 2026-04-10
# Fields: zip, lat, lng, city, state_id, state_name, county
zip,lat,lng,city,state_id,state_name,county
99553,54.143,-165.7854,Akutan,AK,Alaska,Aleutians East
99571,55.1858,-162.7211,Cold Bay,AK,Alaska,Aleutians East
99583,54.8542,-163.4113,False Pass,AK,Alaska,Aleutians East
99612,55.0628,-162.3056,King Cove,AK,Alaska,Aleutians East
99661,55.3192,-160.4914,Sand Point,AK,Alaska,Aleutians East
99546,51.874,-176.634,Adak,AK,Alaska,Aleutians West (CA)
99547,52.1961,-174.2006,Atka,AK,Alaska,Aleutians West (CA)
99591,56.5944,-169.6186,Saint George Island,AK,Alaska,Aleutians West (CA)
99638,52.9381,-168.8678,Nikolski,AK,Alaska,Aleutians West (CA)
99660,57.1842,-170.2764,Saint Paul Island,AK,Alaska,Aleutians West (CA)
99685,53.8871,-166.5199,Unalaska,AK,Alaska,Aleutians West (CA)
99692,53.8898,-166.5422,Dutch Harbor,AK,Alaska,Aleutians West (CA)
99501,61.2116,-149.8761,Anchorage,AK,Alaska,Anchorage Municipality
99502,61.1661,-149.96,Anchorage,AK,Alaska,Anchorage Municipality
99503,61.19,-149.8938,Anchorage,AK,Alaska,Anchorage Municipality
99504,61.2037,-149.7447,Anchorage,AK,Alaska,Anchorage Municipality
99505,59.8666,-158.5996,Jber,AK,Alaska,Anchorage Municipality
99506,59.8666,-158.5996,Jber,AK,Alaska,Anchorage Municipality
99507,61.1535,-149.8289,Anchorage,AK,Alaska,Anchorage Municipality
99508,61.206,-149.8101,Anchorage,AK,Alaska,Anchorage Municipality
99509,61.2181,-149.9003,Anchorage,AK,Alaska,Anchorage Municipality
99510,61.1446,-149.8784,Anchorage,AK,Alaska,Anchorage Municipality
99511,61.0683,-149.8005,Anchorage,AK,Alaska,Anchorage Municipality
99513,61.2149,-149.8862,Anchorage,AK,Alaska,Anchorage Municipality
99514,61.2181,-149.9003,Anchorage,AK,Alaska,Anchorage Municipality
99515,61.1194,-149.8974,Anchorage,AK,Alaska,Anchorage Municipality
99516,61.1054,-149.78,Anchorage,AK,Alaska,Anchorage Municipality
99517,61.1901,-149.9361,Anchorage,AK,Alaska,Anchorage Municipality
99518,61.1549,-149.8866,Anchorage,AK,Alaska,Anchorage Municipality
99519,61.1089,-149.4403,Anchorage,AK,Alaska,Anchorage Municipality
99520,61.2181,-149.9003,Anchorage,AK,Alaska,Anchorage Municipality
99521,61.2181,-149.9003,Anchorage,AK,Alaska,Anchorage Municipality
99522,61.2181,-149.9003,Anchorage,AK,Alaska,Anchorage Municipality
99523,61.2181,-149.9003,Anchorage,AK,Alaska,Anchorage Municipality
99524,61.2181,-149.9003,Anchorage,AK,Alaska,Anchorage Municipality
99529,61.1515,-149.9443,Anchorage,AK,Alaska,Anchorage Municipality
99530,61.1515,-149.9443,Anchorage,AK,Alaska,Anchorage Municipality
99540,61.1089,-149.4403,Indian,AK,Alaska,Anchorage Municipality
99567,61.4098,-149.4537,Chugiak,AK,Alaska,Anchorage Municipality
99577,61.3114,-149.5085,Eagle River,AK,Alaska,Anchorage Municipality
99587,60.9577,-149.1406,Girdwood,AK,Alaska,Anchorage Municipality
99599,61.1872,-149.8804,Anchorage,AK,Alaska,Anchorage Municipality
99695,61.1089,-149.4403,Anchorage,AK,Alaska,Anchorage Municipality
